type,subtype,row1,row2,n_lattice_points,dim,reflexive,pts5d_count
5+5,overlap_3,"(4, 2, 1, 1, 2, 0, 0)","(4, 2, 3, 0, 0, 2, 1)",293,5,True,293
5+5,overlap_3,"(4, 2, 1, 1, 2, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",187,5,True,187
5+5,overlap_3,"(4, 2, 1, 1, 2, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",250,5,True,250
5+5,overlap_3,"(4, 2, 1, 1, 2, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",337,5,True,337
5+5,overlap_3,"(4, 2, 1, 0, 0, 2, 1)","(4, 2, 1, 2, 1, 0, 0)",378,5,True,378
5+5,overlap_3,"(4, 2, 1, 2, 1, 0, 0)","(4, 2, 3, 0, 0, 1, 1)",443,5,True,443
5+5,overlap_3,"(4, 2, 1, 2, 1, 0, 0)","(4, 2, 3, 0, 0, 2, 1)",293,5,True,293
5+5,overlap_3,"(4, 2, 1, 2, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",187,5,True,187
5+5,overlap_3,"(4, 2, 1, 2, 1, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",250,5,True,250
5+5,overlap_3,"(4, 2, 1, 2, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",337,5,True,337
5+5,overlap_3,"(4, 2, 3, 0, 0, 1, 1)","(4, 2, 3, 1, 1, 0, 0)",775,5,True,775
5+5,overlap_3,"(4, 2, 3, 0, 0, 2, 1)","(4, 2, 3, 1, 1, 0, 0)",489,5,True,489
5+5,overlap_3,"(4, 2, 3, 1, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",264,5,True,264
5+5,overlap_3,"(4, 2, 3, 1, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",597,5,True,597
5+5,overlap_3,"(4, 2, 3, 0, 0, 2, 1)","(4, 2, 3, 2, 1, 0, 0)",321,5,True,321
5+5,overlap_3,"(4, 2, 3, 2, 1, 0, 0)","(5, 3, 3, 0, 0, 3, 1)",276,5,True,276
5+5,overlap_3,"(4, 2, 3, 2, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",174,5,True,174
5+5,overlap_3,"(4, 2, 3, 2, 1, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",234,5,True,234
5+5,overlap_3,"(4, 2, 3, 2, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",375,5,True,375
5+5,overlap_3,"(5, 3, 3, 0, 0, 3, 1)","(5, 3, 3, 3, 1, 0, 0)",253,5,True,253
5+5,overlap_3,"(5, 3, 3, 3, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",160,5,False,160
5+5,overlap_3,"(5, 3, 3, 3, 1, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",217,5,True,217
5+5,overlap_3,"(5, 3, 3, 3, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",325,5,True,325
5+5,overlap_3,"(6, 4, 3, 0, 0, 3, 2)","(6, 4, 3, 3, 2, 0, 0)",111,5,True,111
5+5,overlap_3,"(6, 4, 3, 0, 0, 4, 1)","(6, 4, 3, 3, 2, 0, 0)",144,5,True,144
5+5,overlap_3,"(6, 4, 3, 3, 2, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",208,5,True,208
5+5,overlap_3,"(6, 4, 3, 0, 0, 4, 1)","(6, 4, 3, 4, 1, 0, 0)",195,5,True,195
5+5,overlap_3,"(6, 4, 3, 4, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",279,5,True,279
5+5,overlap_3,"(6, 4, 5, 0, 0, 1, 2)","(6, 4, 5, 1, 2, 0, 0)",473,5,True,473
